,"Variable Name","studentid","div","std","schoolid","divid","researchgroup","sessiond","precheated","prehelped","prelater","pre_tot","prepapersubtotal","midcheated","midhelped","midlater","mid_tot","midpapersubtotal","postcheated","posthelped","postlater","post_tot","postpapersubtotal","attritprepost","attritpremid","attritmidpost","pre_verb","pre_math","mid_verb","mid_math","post_verb","post_math","bal","male","rank","bot20","third","numstud","thirdinschool","bigschool","numthird","pre","mid","post","test_type","test","bal_mid","bal_post","mean","sd","norm","classmean","classsd","classnorm"
,"Max","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-.00891","","","-.0008222"
,"Key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Sum Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Total Responses","91782","91782","91782","91782","91782","90756","90756","89532","89523","89496","91782","91782","78282","78741","78741","81324","81324","73764","73593","73593","75834","75834","91782","91782","91782","91782","91782","81000","81324","75834","75834","91782","91782","91782","91782","91782","91782","91782","91782","91782","91782","91782","91782","91782","82944","91782","91782","91782","91782","47325","10198","10198","4538"
,"Mean","2.04e+07","","3.496568","354.3508","38509.19","5.912237","","","","","31.93077","100","","","","45.40294","100","","","","42.19119","100",".1737596",".1139439",".1188468","14.30653","17.62424","22.494","22.94577","21.59162","20.59957",".4893116","0","33.04981",".3694842","1.995293","65.09963","2.011375",".6600314","21.73877",".3333333",".3333333",".3333333","1","26.31066",".1631039",".1631039","21.24453","14.0027","1.170621","31.93077","18.88347",".9163652"
,"Weighted Mean","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight Var. to Calculate Weighted Mean","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Stdev. ","2.21e+07","",".4999909","172.1339","5295.221","2.960675","","","","","22.02438","0","","","","24.57299","0","","","","24.49783","0",".3789047",".3177449",".32361","10.77009","12.44338","12.72878","13.16951","12.37816","13.35959",".4998885","0","24.69167",".4826678",".8158467","27.77371",".8183013",".4737008","9.303493",".4714071",".4714071",".4714071",".816501","19.86094",".3694624",".3694624","9.639645","4.57437",".8143217","11.11006","3.464101",".6742089"
,"Weighted Stdev.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight Var. to Calculate Weighted Stdev.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Derivation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Deriv. Des.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
